"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"5 HERTFORD STREET LIMITED","10, Norwich Street,
London,
EC4A 1BD","6913368","82990",-8,-13,20,-18,84,82,95,5,78,22,67,33,76,24,"https://www.5hertfordstreet.com/home/","Robin Birley (Chairman)","250 to 499","5 HERTFORD STREET LIMITED",FALSE,-0.109923893956304,51.5166196534197,755846,"EC4A 1BD","E00000026","E09000001","E05009305","E01032740","E02000001","E12000007"
"6Cats UK Ltd.","1st Floor 1-3 Sun Street,
London,
England,
EC2A 2EP","7284675","70229",14,4,0,0,0,0,48,52,42,58,47,53,57,43,"","Kirsty Henning (Finance Director)","250 to 499","6Cats UK Ltd.",FALSE,-0.085389803626239,51.5204572242016,750473,"EC2A 2EP","E00013428","E09000019","E05000367","E01002704","E02000576","E12000007"
"A & L RESTAURANTS LIMITED","THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD","4437266","56290",4.9,0.8,48.5,80,13.3,19.9,40.7,59.3,28,72,50,50,59.3,40.7,"","Amir Atefi (Director)","500 to 999","A & L RESTAURANTS LIMITED",FALSE,-0.17585896705679,51.6140902588137,1449168,"N12 9QD","E00001590","E09000003","E05000063","E01000323","E02000042","E12000007"
"A F A RESTAURANTS LIMITED","736, High Road,
North Finchley,
London,
England,
N12 9QD","8345484","47290",2.5,0.3,-9,-8.4,5.6,4.3,59.9,40.1,45.3,54.7,51.7,48.3,62.6,37.4,"","Jackie Farquhar (Business Administrator)","500 to 999","A F A RESTAURANTS LIMITED",FALSE,-0.17585896705679,51.6140902588137,1449168,"N12 9QD","E00001590","E09000003","E05000063","E01000323","E02000042","E12000007"
"A P Security (Aps) Ltd","71-75 Shelton Street,
London,
United Kingdom,
WC2H 9JQ","4926952","82990",2.6,0,0,0,0,0,75.8,24.2,71.9,28.1,77,23,85,15,"","SHILA SHAH (PAYROLL OFFICER)","500 to 999","A P Security (Aps) Ltd",FALSE,-0.123615332296335,51.5148970109798,2489553,"WC2H 9JQ","E00004527","E09000007","E05000138","E01000918","E02000193","E12000007"
"A.B. HOTELS LIMITED","50-60 Great Cumberland Place,
London,
United Kingdom,
W1H 8DD","1467761","55100",5.4,-5.3,-34.9,-50.5,8.8,7,65.3,34.7,46.6,53.4,35.6,64.4,56.2,43.8,"http://www.abhotels.co.uk/GenderPayReport","Rafael Bejerano (Director)","250 to 499","A.B. HOTELS LIMITED",FALSE,-0.160010832464608,51.5162469265477,2432574,"W1H 8DD","E00023506","E09000033","E05000632","E01004657","E02000971","E12000007"
"A24 GROUP LIMITED","92-96 Lind Road,
Sutton,
Surrey,
United Kingdom,
SM1 4PL","3262419","78200",-11,-13,-36,-55,3,2,37,63,35,65,31,69,23,77,"","Charles Rees (Finance Director)","1000 to 4999","A24 GROUP LIMITED",FALSE,-0.18551835522778,51.3645593388773,2097745,"SM1 4PL","E00020854","E09000029","E05000564","E01004138","E02000852","E12000007"
"A2DOMINION HOUSING GROUP LIMITED","The Point,
37 North Wharf Road,
London,
United Kingdom,
W2 1BD","IP28985R","",26,20,50,0,74,76,21,79,33,67,42,58,54,46,"https://www.a2dominiongroup.co.uk/about/reports-and-accounts","Darrell Mercer (Group Chief Executive)","500 to 999","A2DOMINION HOUSING GROUP LIMITED",FALSE,-0.176367343252682,51.5184717436875,2444607,"W2 1BD","E00175186","E09000033","E05000636","E01033594","E02000974","E12000007"
"A3D2 LIMITED","NOVUS LEISURE LIMITED,
Third Floor, Clareville House,
26-27 Oxendon Street,
London,
United Kingdom,
SW1Y 4EL","3506401","56301",-5,-7,-42,-110,24,32,60,40,67,33,59,41,47,53,"","Sarah Miller (Operations Director)","Not Provided","A3D2 LIMITED",FALSE,-0.131636453848331,51.5097822817598,2244304,"SW1Y 4EL","E00023929","E09000033","E05000644","E01004734","E02000977","E12000007"
"AARON SERVICES LIMITED","1 King George Close,
Romford,
Essex,
United Kingdom,
RM7 7LS","3193203","43220",40.2,45.9,-4.9,-77.2,61.5,6.5,48.6,51.4,93.1,6.9,98.6,1.4,94.4,5.6,"https://www.lakehouse.co.uk/application/files/5515/2286/0958/Aaron_Services_-_Gender_Pay_Gap_Report_2018.pdf","Ian Siddons (Senior HR Business Partner)","250 to 499","AARON SERVICES LIMITED",TRUE,0.16557819537777,51.5865242325695,1925997,"RM7 7LS","E00011642","E09000016","E05000316","E01002329","E02000474","E12000007"
"AB AGRI LIMITED","Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY","193800","10910",16.8,-5.3,42.4,0,92.6,88.3,60.1,39.9,88.4,11.6,61.8,38.2,77.1,22.9,"https://www.abagri.com/ABAgriCorporate/files/45/45d18842-167f-4248-aaca-0e422e5259f8.pdf","Jose Nobre (Chief Executive)","1000 to 4999","AB AGRI LIMITED",FALSE,-0.145734699776044,51.5121642534015,2434250,"W1K 4QY","E00175189","E09000033","E05000649","E01033595","E02000972","E12000007"
"AB WORLD FOODS LIMITED","Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY","1400901","10890",-7,-14.2,20.6,-36.8,85.3,89.7,67,33,65.9,34.1,50.5,49.5,55.4,44.6,"https://www.abworldfoods.com/media/file/ABF%20Grain%20Products%20Ltd%20%E2%80%93%20Gender%20Pay%20Gap%20Report.pdf","Andrew Mayhew (Managing Director)","250 to 499","AB WORLD FOODS LIMITED",FALSE,-0.145734699776044,51.5121642534015,2434250,"W1K 4QY","E00175189","E09000033","E05000649","E01033595","E02000972","E12000007"
"ABACAREDIG HOLDINGS LIMITED","101-103, Baker Street,
3rd Floor Caparo House,
London,
England,
W1U 6EF","8612949","88100",-3.2,-11.2,0,0,0,0,9,91,19,81,7,93,6,94,"","Max Wurr (Director of Policy and Communications)","500 to 999","ABACAREDIG HOLDINGS LIMITED",TRUE,-0.157206384279974,51.5207352129756,2440834,"W1U 6EF","E00023830","E09000033","E05000641","E01004712","E02000967","E12000007"
"ABBOTT MEAD VICKERS.BBDO LIMITED","Bankside 3 90-100 Southwark Street,
London,
England,
SE1 0SW","1935786","73110",32.3,37.5,7.8,18.5,15.7,16.3,32.2,67.8,42.9,57.1,47.3,52.7,73.6,26.4,"https://www.amvbbdo.com/en/about","Abigail Dennis (HR Business Partner)","250 to 499","ABBOTT MEAD VICKERS.BBDO LIMITED",FALSE,-0.099822257896256,51.5058359789497,2005779,"SE1 0SW","E00019784","E09000028","E05000536","E01003927","E02000808","E12000007"
"ABC TEACHERS LIMITED","26, Red Lion Square,
London,
England,
WC1R 4HQ","5480764","78101,
85310",6.2,7.8,93.2,0,5.3,1.2,24.7,75.3,22.1,77.9,30.6,69.4,32.1,67.9,"https://www.abc-teachers.co.uk/gender-pay-gap-report","Robert Grimshaw (CEO)","1000 to 4999","ABC TEACHERS LIMITED",FALSE,-0.118846866295351,51.5197396753953,2485904,"WC1R 4HQ","E00004554","E09000007","E05000138","E01000914","E02000193","E12000007"
"ABELLIO EAST ANGLIA LIMITED","2nd, Floor St Andrew's House,
18-20 St Andrew Street,
London,
United Kingdom,
EC4A 3AG","7861414","",20.4,21.8,-20.9,-66.7,100,100,79.6,20.4,79.7,20.3,79.7,20.3,79.5,20.5,"https://www.greateranglia.co.uk/gender-pay","Jamie Burles (Managing Director)","1000 to 4999","ABELLIO EAST ANGLIA LIMITED",FALSE,-0.106950764085453,51.5167155998501,756115,"EC4A 3AG","E00000026","E09000001","E05009305","E01032740","E02000001","E12000007"
"Abellio London Ltd","301 Camberwell New Road,
London,
United Kingdom,
SE5 0TF","3786162","49319",-1.7,0.4,-64.7,0,47,43,91,9,93.2,6.8,93.4,6.6,92.6,7.4,"http://www.abellio.co.uk/about-us/","Tony Wilson (Managing Director)","1000 to 4999","Abellio London Ltd",FALSE,-0.09597350584629,51.4754409963331,2032999,"SE5 0TF","E00019740","E09000028","E05000535","E01003919","E02000827","E12000007"
"ABF GRAIN PRODUCTS LIMITED","Weston Centre, 10 Grosvenor Street,
London,
W1K 4QY","79590","10710",-5.7,0.8,40.2,-43.8,21.9,33.8,72.7,27.3,88.5,11.5,85.8,14.2,77.3,22.7,"https://www.abf.co.uk/abf-grain-products-ltd-gender-pay-gap-report","Gareth Fendick (Director of Talent and Organisation Development)","5000 to 19,999","ABF GRAIN PRODUCTS LIMITED",FALSE,-0.145734699776044,51.5121642534015,2434250,"W1K 4QY","E00175189","E09000033","E05000649","E01033595","E02000972","E12000007"
"ABM FACILITY SERVICES SCOTLAND LIMITED","George House,
75-83 Borough High Street,
London,
United Kingdom,
SE1 1NH","2328842","81100",3,4.8,4.8,0.8,43.4,22.7,44,56,42,58,65,35,74,26,"","Nicola Davies (HR Director)","500 to 999","ABM FACILITY SERVICES SCOTLAND LIMITED",FALSE,-0.090435860694874,51.5042446883651,2006038,"SE1 1NH","E00019839","E09000028","E05000537","E01003939","E02000808","E12000007"
"ABM FACILITY SERVICES UK LIMITED","George House,
75/83 Borough High Street,
London,
United Kingdom,
SE1 1NH","3461565","81100",5.5,0.2,38.5,7,29.4,20.1,57,43,65,35,77,23,47,53,"","Nicola Davies (HR Director)","1000 to 4999","ABM FACILITY SERVICES UK LIMITED",FALSE,-0.090435860694874,51.5042446883651,2006038,"SE1 1NH","E00019839","E09000028","E05000537","E01003939","E02000808","E12000007"
"Academies Enterprise Trust","3rd Floor 183 Eversholt Street,
London,
United Kingdom,
NW1 1BU","6625091","1,
85200,
85310,
85320,
85410",24.3,34.6,0,0,0,0,10.4,89.6,19.1,80.9,26.9,73.1,37.3,62.7,"","","5000 to 19,999","Academies Enterprise Trust",FALSE,-0.136040053308771,51.5318125560097,1635546,"NW1 1BU","E00004757","E09000007","E05000143","E01000954","E02000187","E12000007"
"ACADEMY MUSIC GROUP LIMITED","211 Stockwell Road,
London,
United Kingdom,
SW9 9SL","3463738","90040",24,1,47,43,36,39,42,58,45,55,49,51,65,35,"https://academymusicgroup.com/content/gender-pay-gap","Paul Latham (COO UK & Ireland)","1000 to 4999","ACADEMY MUSIC GROUP LIMITED",FALSE,-0.115138641948797,51.4653460753673,2258620,"SW9 9SL","E00015414","E09000022","E05000421","E01003061","E02000628","E12000007"
"ACCENTURE (UK) LIMITED","30 Fenchurch Street,
London,
United Kingdom,
EC3M 3BD","4757301","70229",16.7,10.2,52,33.4,61.6,62.5,54.7,45.3,64,36,67.6,32.4,72.1,27.9,"https://www.accenture.com/gb-en/company-news-release-gender-pay-gap-data","Olly Benzecry (Country Managing Director)","Not Provided","ACCENTURE (UK) LIMITED",FALSE,-0.082269379060257,51.5113595460111,754222,"EC3M 3BD","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"ACCESSORIZE LIMITED","1, Nicholas Road,
London,
England,
W11 4AN","9942425","47190",15.7,0,-16.6,-10.6,89.6,81.9,0.6,99.4,3.2,96.8,6.1,93.9,2.9,97.1,"https://media.monsoon.co.uk/assets/images/dual/footer/GPG-Report-04-2018.pdf?_ga=2.121577871.600625127.1522854697-1143904884.1522854697","Paul Allen (Chief Executive Officer)","1000 to 4999","ACCESSORIZE LIMITED",FALSE,-0.218693432243523,51.5105341532589,2420524,"W11 4AN","E00014419","E09000020","E05009399","E01002870","E02000581","E12000007"
"ACCOR UK BUSINESS & LEISURE HOTELS LIMITED","10 Hammersmith Grove,
London,
England,
W6 7AP","1016187","55100",8.2,5.2,30.8,18.4,73.5,73.9,43.5,56.5,43.5,56.5,60.3,39.7,55.4,44.6,"http://www.accorhotels.group/en/legal-information","Olivier Daguzan (COO AccorInvest Northern Europe)","1000 to 4999","ACCOR UK BUSINESS & LEISURE HOTELS LIMITED",FALSE,-0.225439851040019,51.4938021990033,2453546,"W6 7AP","E00009487","E09000013","E05000256","E01001898","E02000384","E12000007"
"ACCURO FM LTD","128, Buckingham Palace Road,
London,
SW1W 9SA","3070774","81100",23,3,45,10,46,53,22,78,53,47,100,0,100,0,"","Patrick White (HR Director)","250 to 499","ACCURO FM LTD",TRUE,-0.147462833129446,51.4937295294654,2243219,"SW1W 9SA","E00024050","E09000033","E05000647","E01004750","E02000982","E12000007"
"ACHESON & ACHESON LIMITED","117 Charterhouse Street,
London,
United Kingdom,
EC1M 6AA","2764368","20412,
20420",6.5,9.6,35.5,10.1,88.2,90.9,28.4,71.6,33.8,66.2,40.5,59.5,45.9,54.1,"http://achesonandacheson.co.uk/GenderPayGap2017.pdf","Kenneth Acheson (Managing Director)","250 to 499","ACHESON & ACHESON LIMITED",FALSE,-0.100638054499322,51.5205164095744,747075,"EC1M 6AA","E00013430","E09000019","E05000367","E01033490","E02000575","E12000007"
"ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY","Gifford House,
67c St Helier Avenue,
Morden,
United Kingdom,
SM4 6HY","8878185","84110,
85600,
88990",1.1,2.8,0,0,0,0,27,73,20,80,21,79,25,75,"https://www.achievingforchildren.org.uk/about-us/freedom-of-information/publication-scheme/who-we-are-and-how-we-work/gender-pay-gap-2017/","Gill Goouch (Associate Director for Workforce)","1000 to 4999","ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY",FALSE,-0.186244154261566,51.397816622485,2100133,"SM4 6HY","E00017399","E09000024","E05000468","E01003439","E02000711","E12000007"
"ACORN LIMITED","1 Sherman Road,
Bromley,
United Kingdom,
BR1 3JH","4398269","68310",29.5,25.5,62.8,85.6,72,63,33,67,40,60,48,52,65,35,"http://acorngroup.co.uk/documents/TAG_GenderPayGap.pdf","Hector Stavrinidis (Finance Director)","250 to 499","ACORN LIMITED",FALSE,0.018324786933809,51.4085998621336,242583,"BR1 3JH","E00003250","E09000006","E05000109","E01000676","E02000134","E12000007"
"ACTAVO NETWORK SOLUTIONS (UK) LIMITED","83, Victoria Street,
Victoria,
London,
SW1H 0HW","7974554","82990",29,38,0,0,0,0,72,28,94,6,99,1,99,1,"","Niamh Walsh (HR Director)","250 to 499","ACTAVO NETWORK SOLUTIONS (UK) LIMITED",FALSE,-0.134981387686938,51.4973985793525,2239518,"SW1H 0HW","E00175249","E09000033","E05000644","E01004731","E02000979","E12000007"
"ACTIVE CLEANING CONTRACTORS LIMITED","Orchard House Orchard Waye,
Uxbridge,
Middlesex,
United Kingdom,
UB8 2BP","4832632","81210",7,1.5,0,0,0,0,50,50,17,83,37,63,38,62,"http://www.activeclean.co.uk/","James Manning (Director)","250 to 499","ACTIVE CLEANING CONTRACTORS LIMITED",FALSE,-0.474151704394301,51.5387380216924,2416613,"UB8 2BP","E00012042","E09000017","E05000326","E01002414","E02000508","E12000007"
"Activenewham","The Old Dispensary 30 Romford Road,
Stratford,
London,
United Kingdom,
E15 4BZ","8030293","93110,
93130,
93199,
93290",9,0.3,27.7,35.6,1.4,4.4,44.4,55.6,56.6,43.4,51.3,48.7,32.9,67.1,"http://www.activenewham.org.uk/about-us","Ian Gallagher (Managing Director)","500 to 999","Activenewham",FALSE,0.006460660896245,51.5420960367936,729308,"E15 4BZ","E00018231","E09000025","E05000492","E01003618","E02000725","E12000007"
"ACTURIS LIMITED","Courtyard Suite, 100 Hatton Garden,
London,
EC1N 8NX","3998084","62090",18.2,16.2,48,16.3,75.1,71.6,64.4,35.6,69.4,30.6,78.1,21.9,86.3,13.7,"http://www.acturis.com/wp-content/uploads/2018/03/Acturis_Gender_Pay_Gap_Statement_2017.pdf","David McDonald (Director)","250 to 499","ACTURIS LIMITED",FALSE,-0.108143414085942,51.5185423832155,747606,"EC1N 8NX","E00004547","E09000007","E05000138","E01000916","E02000192","E12000007"
"A-DAY CONSULTANTS LIMITED","Solar House, 1-9 Romford Road,
London,
England,
E15 4LJ","4493101","78109",23.6,16.6,56.4,83,31.1,15.5,17.5,82.5,30.9,69.1,30,70,51.2,48.8,"https://www.academicsltd.co.uk/docs/Gender-Pay-Gap-2017-Narrative-A-Day-Consultants-Ltd.pdf?v1.5","Jonathan Long (Managing Director)","250 to 499","A-DAY CONSULTANTS LIMITED",FALSE,0.005205980972105,51.5424232575656,729401,"E15 4LJ","E00018231","E09000025","E05000492","E01003618","E02000725","E12000007"
"Addaction","67-69 Cowcross Street,
London,
United Kingdom,
EC1M 6PU","2580377","86900,
87900,
88990",8.6,0.9,17.8,0,10.1,10.4,28.2,71.8,32.8,67.2,32.2,67.8,30.8,69.2,"https://www.addaction.org.uk/gender-pay-gap-report-march-2018","Mike Dixon (CEO)","1000 to 4999","Addaction",FALSE,-0.103728712009311,51.5200268532844,747207,"EC1M 6PU","E00013550","E09000019","E05000370","E01002724","E02000575","E12000007"
"ADDISON LEE LIMITED","35-37 William Road,
London,
United Kingdom,
NW1 3ER","1205530","49320,
53201",18,11.4,59.9,100,62.6,43,53.9,46.1,76.2,23.8,77.7,22.3,72.3,27.7,"https://www.addisonlee.com/addlib/addison-lees-gender-pay-gap-report/","David Stickland (Chief Financial Officer)","500 to 999","ADDISON LEE LIMITED",FALSE,-0.139409396627806,51.5269739999421,1636239,"NW1 3ER","E00004699","E09000007","E05000142","E01000946","E02000186","E12000007"
"ADECCO UK LIMITED","Millennium Bridge House,
2 Lambeth Hill,
London,
United Kingdom,
EC4V 4BG","593232","78200",-7.8,-3.2,-84,-67,60.2,39.8,62.6,37.4,54,46,54.6,45.4,53.5,46.5,"https://www.adecco.co.uk/gender-pay-gap","Richard Thompson (Regional Head of Human Resources)","5000 to 19,999","ADECCO UK LIMITED",FALSE,-0.097142354658599,51.5113590550857,757686,"EC4V 4BG","E00166757","E09000001","E05009309","E01032739","E02000001","E12000007"
"ADELIE FOODS LIMITED","2 The Square,
Southall Lane,
Heathrow,
United Kingdom,
UB2 5NH","4272608","10890",11.6,8.2,57.3,62.5,1.9,1.2,44.8,55.2,54.8,45.2,63.5,36.5,70.3,29.7,"http://www.adeliefoods.co.uk/working-for-us/","Meirion Gravell (Group HR Director)","1000 to 4999","ADELIE FOODS LIMITED",FALSE,-0.400642077971217,51.4963128897847,2409803,"UB2 5NH","E00013109","E09000018","E05000357","E01002637","E02000530","E12000007"
"ADM MILLING LIMITED","Adm International Limited,
Church Manorway,
Erith Kent,
United Kingdom,
DA8 1DL","2445197","10611",11.9,14.1,81.6,31.8,5.2,1.3,70.3,29.7,86.5,13.5,91,9,84.7,15.3,"http://www.4flour.co.uk/ADM%20Milling%20Gender%20Pay%20Gap%20Report%20April%202017.pdf","Tim Cook (Managing Director)","250 to 499","ADM MILLING LIMITED",FALSE,0.167748837312799,51.4928488944495,589635,"DA8 1DL","E00001991","E09000004","E05000075","E01000405","E02000068","E12000007"
"ADMIRAL RECRUITMENT LIMITED","Third Floor 24 Chiswell Street,,
London,
EC1Y 4YX","3097389","82990",3.5,0,51.8,78.6,8,7,63.5,36.5,48.6,51.4,48,52,72,28,"","Craig Friend (CFO)","250 to 499","ADMIRAL RECRUITMENT LIMITED",FALSE,-0.089623803800774,51.5208949953129,749999,"EC1Y 4YX","E00013428","E09000019","E05000367","E01002704","E02000576","E12000007"
"Advanced Travel Partners UK Ltd","Rivercastle House,
10 Leake Street,
London,
United Kingdom,
SE1 7NN","2515255","79110",30,26,0,0,0,0,11,89,11,89,21,79,41,59,"https://www.atpi.com","Peter Farrow (Head of HR)","250 to 499","Advanced Travel Partners UK Ltd",FALSE,-0.115948486187459,51.50195945076,2008257,"SE1 7NN","E00015166","E09000022","E05000416","E01003013","E02006801","E12000007"
"Advisory, Conciliation and Arbitration Service","Euston Tower,
London,
NW1 3JJ","","1",7.1,0,-4.5,0,44,43,37.6,62.4,36.5,63.5,41.1,58.9,51.7,48.3,"http://www.acas.org.uk/index.aspx?articleid=5985","","Not Provided","Advisory, Conciliation and Arbitration Service",FALSE,-0.142154992165602,51.5243376853173,1636278,"NW1 3JJ","E00004701","E09000007","E05000142","E01000946","E02000186","E12000007"
"AECOM LIMITED","St George's House,
5 St. George's Road,
Wimbledon,
London,
England,
SW19 4DR","1846493","71122",21.5,21.9,56,50,22,19,64,36,64,36,75,25,85,15,"http://www.aecom.com/content/wp-content/uploads/2018/02/AECOM_gender-pay-gap-report-uk-ireland.pdf","David Barwell (Chief Executive UK and Ireland)","1000 to 4999","AECOM LIMITED",FALSE,-0.208367826560817,51.4206476562389,2237066,"SW19 4DR","E00017226","E09000024","E05000462","E01003402","E02000692","E12000007"
"AETNA GLOBAL BENEFITS (UK) LIMITED","50 Cannon Street,
London,
England,
EC4N 6JJ","3554885","65120",42.7,30,82.2,47.2,88,90.1,37,63,31.6,68.4,50.8,49.2,64.6,35.4,"https://www.aetnainternational.com/en/about-us/legal-notices.html","Richard di Benedetto (President)","250 to 499","AETNA GLOBAL BENEFITS (UK) LIMITED",FALSE,-0.093332622723548,51.5121694708719,756857,"EC4N 6JJ","E00166757","E09000001","E05009309","E01032739","E02000001","E12000007"
"AFH STORES UK LIMITED","1, Old Burlington Street,
2nd Floor,
London,
W1S 3AD","6423604","47710",5.9,3.5,-21.6,0,4.4,3.6,29.7,70.3,31.6,68.4,38.8,61.2,40.3,59.7,"https://www.abercrombie.com/anf/files/anf-uk-gender-pay-report.pdf","Jennifer Wrangler (UK A&F Entity Director)","1000 to 4999","AFH STORES UK LIMITED",FALSE,-0.140217519240926,51.5103323192952,2438213,"W1S 3AD","E00175196","E09000033","E05000649","E01033595","E02000972","E12000007"
"AG SERVICE COMPANY LIMITED","Milton Gate,
60 Chiswell Street,
London,
United Kingdom,
EC1Y 4AG","7299444","82990",23.8,16.4,43.2,33.3,60.6,54.9,29,71,26,74,39,61,49,51,"","Niki Lawson (HR Director)","1000 to 4999","AG SERVICE COMPANY LIMITED",FALSE,-0.0901514109303,51.5206877667358,749938,"EC1Y 4AG","E00000019","E09000001","E05009302","E01000002","E02000001","E12000007"
"Age UK","Tavis House,
1 - 6 Tavistock Square,
London,
United Kingdom,
WC1H 9NA","6825798","87300",8,17.3,-1585.3,-300,8.4,10,24.3,75.7,25.7,74.3,25.7,74.3,38,62,"","Stephanie Harland (CEO)","250 to 499","Age UK",FALSE,-0.127912338235569,51.5250375265777,2485072,"WC1H 9NA","E00004650","E09000007","E05000141","E01000943","E02000190","E12000007"
"Age UK Trading Cic","Tavis House,
1 - 6 Tavistock Square,
London,
United Kingdom,
WC1H 9NA","1102972","82990",27.8,8.9,-95.1,0,2.3,1.1,13.1,86.9,21.1,78.9,20.5,79.5,36.1,63.9,"","Stephanie Harland (CEO)","1000 to 4999","Age UK Trading Cic",FALSE,-0.127912338235569,51.5250375265777,2485072,"WC1H 9NA","E00004650","E09000007","E05000141","E01000943","E02000190","E12000007"
"AGILISYS CONTACT SERVICES LIMITED","Third Floor One Hammersmith Broadway,
Hammersmith,
London,
United Kingdom,
W6 9DL","4288680","82200",4.1,2,-24.6,-53.8,29.7,28,38,62,64,36,33,67,25,75,"https://www.agilisys.co.uk/sites/default/files/file/2018-04/Agilisys_Gender_Pay_Gap_Report_0.pdf","Simon Mounsey (Director of HR)","250 to 499","AGILISYS CONTACT SERVICES LIMITED",FALSE,-0.223847532953745,51.4928878282541,2454167,"W6 9DL","E00009487","E09000013","E05000256","E01001898","E02000384","E12000007"
"AGILISYS LIMITED","Third Floor One Hammersmith Broadway,
Hammersmith,
London,
United Kingdom,
W6 9DL","4327369","58290,
62090,
70229",29.6,40.6,79.6,61,38.2,17.8,37,63,75,25,82,18,100,0,"https://www.agilisys.co.uk/sites/default/files/file/2018-04/Agilisys_Gender_Pay_Gap_Report_0.pdf","Simon Mounsey (Director of HR)","250 to 499","AGILISYS LIMITED",FALSE,-0.223847532953745,51.4928878282541,2454167,"W6 9DL","E00009487","E09000013","E05000256","E01001898","E02000384","E12000007"
"AGILISYS MANAGED SERVICES LIMITED","Third Floor One Hammersmith Broadway, Hammersmith,
London,
United Kingdom,
W6 9DL","4298949","62090",15,20.9,55.4,58.3,34.1,30.7,88,12,88,12,100,0,88,12,"https://www.agilisys.co.uk/sites/default/files/file/2018-04/Agilisys_Gender_Pay_Gap_Report_0.pdf","Simon Mounsey (Director of HR)","Less than 250","AGILISYS MANAGED SERVICES LIMITED",FALSE,-0.223847532953745,51.4928878282541,2454167,"W6 9DL","E00009487","E09000013","E05000256","E01001898","E02000384","E12000007"
"AGILITY LOGISTICS LIMITED","Unit 6 North Radius Park Faggs Road,
Feltham,
Middlesex,
United Kingdom,
TW14 0NG","112456","52290",29.6,11.3,76,71.3,23.9,14.4,63.2,36.8,48.1,51.9,52.4,47.6,85.8,14.2,"https://www.agility.com/en/network/uk-logistics-company/#","Hitesh Nathwani (Finance Director)","250 to 499","AGILITY LOGISTICS LIMITED",FALSE,-0.418823496862587,51.4646361556746,2392633,"TW14 0NG","E00012904","E09000018","E05000351","E01002592","E02000547","E12000007"
"AGMAN HOLDINGS LIMITED","3, London Bridge Street,
London,
United Kingdom,
SE1 9SG","3901524","64209,
78300",40,30,80,50,80,77,42,58,53,47,63,37,83,17,"http://www.edfman.com/images/PDFs/Gender-Pay-Gap-Report-2017.pdf","Stuart Reed (Chief People Officer)","250 to 499","AGMAN HOLDINGS LIMITED",FALSE,-0.087624727722633,51.5049632698291,2009073,"SE1 9SG","E00020008","E09000028","E05000542","E01003981","E02000812","E12000007"
"AIG EUROPE LIMITED","The Aig Building, 58 Fenchurch Street,
London,
EC3M 4AB","1486260","65120",29,34,57,53,95,95,45,55,48,52,60,40,79,21,"https://www.aig.co.uk/content/dam/aig/emea/united-kingdom/documents/aig-uk-2017-gender-pay-gap-report.pdf","Julia Friend (Director, Human Resources)","1000 to 4999","AIG EUROPE LIMITED",FALSE,-0.08006520136508,51.512024884863,754282,"EC3M 4AB","E00000035","E09000001","E05009310","E01032739","E02000001","E12000007"
"AIM COMMERCIAL CLEANING LIMITED","12 Hatherley Road,
Sidcup,
Kent,
United Kingdom,
DA14 4DT","1427132","81210",3.8,0,-50.9,-100,0.6,0.9,40,60,34.9,65.1,36.1,63.9,42.6,57.4,"http://www.aimcleaning.co.uk/gender-pay-report","Andrew Sullivan (Director)","1000 to 4999","AIM COMMERCIAL CLEANING LIMITED",FALSE,0.103345718739679,51.4272850834823,583213,"DA14 4DT","E00002259","E09000004","E05000083","E01000457","E02000090","E12000007"
"AIRWAVE SOLUTIONS LIMITED","Nova South,
160 Victoria Street,
London,
United Kingdom,
SW1E 5LB","3985643","61900",19.9,18.1,36.9,41.3,97.5,98,63.2,36.8,84,16,81.6,18.4,91.2,8.8,"Https://www.motorolasolutions.com/content/dam/msi/docs/about-us/cr/uk-gender-pay-gap-report.pdf","Vincent Kennedy (AVP, General Manager UK Services)","500 to 999","AIRWAVE SOLUTIONS LIMITED",FALSE,-0.143492486679669,51.4967782268771,2239190,"SW1E 5LB","E00023946","E09000033","E05000644","E01004731","E02000979","E12000007"
"AITCH CARE HOMES (LONDON) LIMITED","Unit 6 & 7 Princeton Mews,
167-169 London Road,
Kingston Upon Thames,
Surrey,
United Kingdom,
KT2 6PT","5016149","82990",-2,0,18,88,1,2,29,71,28,72,35,65,30,70,"","Moira Bennett-Jevons (HR Manager)","500 to 999","AITCH CARE HOMES (LONDON) LIMITED",FALSE,-0.289480541124146,51.4127683654264,1132598,"KT2 6PT","E00014954","E09000021","E05000409","E01002974","E02000602","E12000007"
